before-safari-crayon-t1  2.607 0.972  2.623 0.971  2.640 0.289  2.657 0.225  2.673 0.213  2.690 0.204  2.707 0.196  2.723 0.180  2.740 0.075  2.757 0.065  2.773 0.059  2.790 0.060
before-safari-crayon-t2  2.627 0.964  2.643 0.964  2.660 0.265  2.677 0.239  2.693 0.217  2.710 0.211  2.727 0.193  2.743 0.085  2.760 0.070  2.777 0.062  2.793 0.063  2.810 0.054
before-safari-crayon-t3  2.600 0.966  2.617 0.966  2.633 0.291  2.650 0.243  2.667 0.217  2.683 0.211  2.700 0.195  2.717 0.180  2.733 0.168  2.750 0.067  2.767 0.063  2.783 0.056
after-safari-crayon-t1  2.622 0.966  2.638 0.852  2.655 0.679  2.672 0.538  2.688 0.451  2.705 0.365  2.722 0.307  2.738 0.262  2.755 0.139  2.772 0.118  2.788 0.096  2.805 0.082
after-safari-crayon-t2  2.625 0.973  2.642 0.972  2.658 0.787  2.675 0.616  2.692 0.495  2.708 0.415  2.725 0.352  2.742 0.294  2.758 0.163  2.775 0.131  2.792 0.107  2.808 0.095
after-safari-crayon-t3  2.575 0.968  2.592 0.950  2.608 0.721  2.625 0.579  2.642 0.461  2.658 0.392  2.675 0.322  2.692 0.277  2.708 0.235  2.725 0.121  2.742 0.103  2.758 0.085
before-safari-magic-t1  2.585 0.944  2.602 0.946  2.618 0.567  2.635 0.490  2.652 0.390  2.668 0.334  2.685 0.284  2.702 0.280  2.718 0.280  2.735 0.277  2.752 0.270  2.768 0.253
after-safari-magic-t1  2.572 0.932  2.588 0.922  2.605 0.769  2.622 0.596  2.638 0.482  2.655 0.376  2.672 0.327  2.688 0.300  2.705 0.291  2.722 0.282  2.738 0.260  2.755 0.245
after-safari-reduced-crayon  2.503 0.937  2.520 0.943  2.537 0.027  2.553 0.024  2.570 0.015  2.587 0.009  2.603 0.005  2.620 0.001  2.637 0.002  2.653 0.001  2.670 0.001  2.687 0.000
after-safari-reduced-magic  2.545 0.957  2.562 0.942  2.578 0.247  2.595 0.232  2.612 0.241  2.628 0.199  2.645 0.186  2.662 0.184  2.678 0.181  2.695 0.178  2.712 0.175  2.728 0.173
before-android-chrome-crayon-t1  1.841 0.797  1.849 1.109  1.858 0.795  1.866 0.802  1.875 0.691  1.882 0.626  1.892 0.559  1.900 0.542  1.908 0.519  1.916 0.519  1.927 0.467  1.933 0.462
before-android-chrome-crayon-t2  1.884 0.653  1.892 0.927  1.901 0.833  1.910 0.763  1.926 0.751  1.935 0.751  1.944 0.719  1.956 0.608  1.964 0.598  1.980 0.566  1.995 0.353  2.002 0.322
before-android-chrome-crayon-t3  1.874 0.986  1.883 0.980  1.892 0.656  1.900 0.614  1.910 0.547  1.918 0.816  1.925 0.805  1.937 0.790  1.947 0.682  1.955 0.675  1.960 0.670  1.970 0.642
after-android-chrome-crayon-t1  1.572 0.982  1.582 0.955  1.589 0.710  1.604 0.663  1.618 0.613  1.625 0.572  1.631 0.528  1.646 0.497  1.650 0.478  1.661 0.355  1.676 0.292  1.680 0.305
after-android-chrome-crayon-t2  1.731 0.995  1.745 0.967  1.751 0.767  1.762 0.679  1.766 0.628  1.771 0.575  1.781 0.537  1.794 0.400  1.802 0.384  1.812 0.365  1.822 0.316  1.829 0.289
after-android-chrome-crayon-t3  1.707 0.981  1.714 0.977  1.721 0.786  1.729 0.670  1.742 0.606  1.752 0.580  1.760 0.538  1.768 0.365  1.783 0.368  1.789 0.341  1.797 0.321  1.808 0.260
after-android-native-crayon-t1  1.705 0.976  1.708 0.885  1.717 0.825  1.725 0.770  1.729 0.734  1.749 0.665  1.754 0.644  1.769 0.612  1.773 0.581  1.784 0.336  1.788 0.288  1.794 0.288
after-android-native-crayon-t2  1.727 0.941  1.735 0.882  1.741 0.813  1.755 0.771  1.762 0.701  1.768 0.637  1.776 0.602  1.783 0.437  1.790 0.304  1.799 0.292  1.808 0.306  1.823 0.259
after-android-native-crayon-t3  1.755 0.945  1.759 0.893  1.770 0.832  1.775 0.774  1.790 0.739  1.796 0.668  1.804 0.636  1.811 0.610  1.819 0.431  1.825 0.274  1.833 0.273  1.842 0.286
