target	capture	completedUtc	rawSha256	verdict
macos	before-1	2026-09-20T05:26:34.763Z	99e5183c0d6388440f03f40c6351e3187da1e5f986035b80388d6cffa87d4a53	pass
macos	after-1	2026-09-20T05:33:10.869Z	f3202d65b6ee87f6d52187f5a0d9d824ceb7d933ee13f8fe5cedb4ce4ea6f3f4	red
macos	after-2	2026-09-20T05:39:37.362Z	b45cb54aeff188bfb9ffd242f4244c1e0e1bae88f7487bd0b71b77e7537a6a66	red
macos	before-2	2026-09-20T05:46:02.520Z	696f30052427ceb7fc5d68c545b5706e43bfa00d1bb04e536dc112827ffb99c8	pass
ipad-safari	before-1	2026-09-20T05:58:01.793Z	08b1e76c1b5153a4149b7e019e082db1e013920e05b5f211584fc4d0e2f2823e	red
ipad-safari	after-1	2026-09-20T06:08:40.449Z	fd9d66d899c181352a51df91e16880d76fc086559ec5fe2404005dcbe9d3fb63	pass
ipad-safari	after-2	2026-09-20T06:16:48.107Z	e7ee0bd2216c538230d26ddacc3d7fbf56d2b15034652bba55ab1717cbe9b521	pass
ipad-safari	before-2	2026-09-20T06:24:48.661Z	838de0f544816c81d0f768191d13a4db031dffb52a10d127eb389ede6f232968	pass
ipad-native	before-1	2026-09-20T06:31:40.135Z	b83742dd4bd641807fb02de3d01e3af9bdf075ac0707df1ff7034b1ed17c138d	red
ipad-native	after-1	2026-09-20T06:39:34.302Z	0395926990a848be51f8656b3150df4f0d2442ba2c21fa5214156fc84d0725ce	red
ipad-native	after-2	2026-09-20T06:45:19.679Z	9f51569e66e76df37b884dc86c7112d6137de67fe0723c8589f4d7815ece863f	pass
ipad-native	before-2	2026-09-20T06:51:54.373Z	413c569cfd668549ef791346bfb46216e9564048caa8e95f456008d8cfb884cb	pass
android-chrome	before-1	2026-09-20T06:59:19.338Z	8156360229abd6485b46eb0425c7b2dc21db85527be89983d623b1dcd8e4a612	pass
android-chrome	after-1	2026-09-20T07:05:07.554Z	740b97d567707cae294ccaee26c7c31836be678c3195e36e7d4347543e19b06b	pass
android-chrome	after-2	2026-09-20T07:10:47.257Z	9103389dea5b21c9cc86d1b2bf11ae9fbfbcd1b5fc0e370a28b74527a5b4dfc6	red
android-chrome	before-2	2026-09-20T07:16:31.498Z	27f32c058723fcb9b89935db8127a523be504489e16b58e824e06f72ca6de1f0	red
android-native	before-1	2026-09-20T07:24:50.089Z	db0ece0f7d75ae9cd18885b44d7746a1f73238af03aeefabb7c26c57e093f5a7	pass
